SF_Id,Name,Object,Field,Before,After,Source,Action,Result,Error,Timestamp
a0BWR0000083yMU2AY,AGR-0641,Agreement__c,*record*,"{""Name"": ""AGR-0641"", ""Opportunity__c"": ""006WR00000wkDutYAE"", ""Opportunity_Name"": ""Windrush Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:43.843710
a0BWR0000083yMV2AY,AGR-0642,Agreement__c,*record*,"{""Name"": ""AGR-0642"", ""Opportunity__c"": ""006WR00000wkDutYAE"", ""Opportunity_Name"": ""Windrush Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:44.525462
a0BWR0000083yMZ2AY,AGR-0646,Agreement__c,*record*,"{""Name"": ""AGR-0646"", ""Opportunity__c"": ""006WR00000wkDuwYAE"", ""Opportunity_Name"": ""Fairways"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:45.136083
a0BWR0000083yMa2AI,AGR-0647,Agreement__c,*record*,"{""Name"": ""AGR-0647"", ""Opportunity__c"": ""006WR00000wkDuwYAE"", ""Opportunity_Name"": ""Fairways"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:45.494431
a0BWR0000083yMd2AI,AGR-0650,Agreement__c,*record*,"{""Name"": ""AGR-0650"", ""Opportunity__c"": ""006WR00000wkDuyYAE"", ""Opportunity_Name"": ""Sheppard's Edge"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:46.037251
a0BWR0000083yMe2AI,AGR-0651,Agreement__c,*record*,"{""Name"": ""AGR-0651"", ""Opportunity__c"": ""006WR00000wkDuyYAE"", ""Opportunity_Name"": ""Sheppard's Edge"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:46.618706
a0BWR0000083yMh2AI,AGR-0654,Agreement__c,*record*,"{""Name"": ""AGR-0654"", ""Opportunity__c"": ""006WR00000wkDv0YAE"", ""Opportunity_Name"": ""Boulder Springs Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:46.984944
a0BWR0000083yMi2AI,AGR-0655,Agreement__c,*record*,"{""Name"": ""AGR-0655"", ""Opportunity__c"": ""006WR00000wkDv0YAE"", ""Opportunity_Name"": ""Boulder Springs Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:47.565945
a0BWR0000083yMl2AI,AGR-0658,Agreement__c,*record*,"{""Name"": ""AGR-0658"", ""Opportunity__c"": ""006WR00000wkDv2YAE"", ""Opportunity_Name"": ""St. John's"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:48.053123
a0BWR0000083yMm2AI,AGR-0659,Agreement__c,*record*,"{""Name"": ""AGR-0659"", ""Opportunity__c"": ""006WR00000wkDv2YAE"", ""Opportunity_Name"": ""St. John's"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:48.469459
a0BWR0000083yMp2AI,AGR-0662,Agreement__c,*record*,"{""Name"": ""AGR-0662"", ""Opportunity__c"": ""006WR00000wkDv4YAE"", ""Opportunity_Name"": ""615 Manhattan"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:49.011047
a0BWR0000083yMq2AI,AGR-0663,Agreement__c,*record*,"{""Name"": ""AGR-0663"", ""Opportunity__c"": ""006WR00000wkDv4YAE"", ""Opportunity_Name"": ""615 Manhattan"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:49.568424
a0BWR0000083yMt2AI,AGR-0666,Agreement__c,*record*,"{""Name"": ""AGR-0666"", ""Opportunity__c"": ""006WR00000wkDv6YAE"", ""Opportunity_Name"": ""Sunset Street"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:49.996639
a0BWR0000083yMu2AI,AGR-0667,Agreement__c,*record*,"{""Name"": ""AGR-0667"", ""Opportunity__c"": ""006WR00000wkDv6YAE"", ""Opportunity_Name"": ""Sunset Street"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:50.605964
a0BWR0000083yMx2AI,AGR-0670,Agreement__c,*record*,"{""Name"": ""AGR-0670"", ""Opportunity__c"": ""006WR00000wkDv8YAE"", ""Opportunity_Name"": ""Pineforest Place"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:51.212192
a0BWR0000083yMy2AI,AGR-0671,Agreement__c,*record*,"{""Name"": ""AGR-0671"", ""Opportunity__c"": ""006WR00000wkDv8YAE"", ""Opportunity_Name"": ""Pineforest Place"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:51.574516
a0BWR0000083yN12AI,AGR-0674,Agreement__c,*record*,"{""Name"": ""AGR-0674"", ""Opportunity__c"": ""006WR00000wkDvAYAU"", ""Opportunity_Name"": ""University Club Apartments (Lubbock)"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:52.017473
a0BWR0000083yN22AI,AGR-0675,Agreement__c,*record*,"{""Name"": ""AGR-0675"", ""Opportunity__c"": ""006WR00000wkDvAYAU"", ""Opportunity_Name"": ""University Club Apartments (Lubbock)"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:52.596286
a0BWR0000083yN52AI,AGR-0678,Agreement__c,*record*,"{""Name"": ""AGR-0678"", ""Opportunity__c"": ""006WR00000wkDvCYAU"", ""Opportunity_Name"": ""Chaparral Apts"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:53.182331
a0BWR0000083yN62AI,AGR-0679,Agreement__c,*record*,"{""Name"": ""AGR-0679"", ""Opportunity__c"": ""006WR00000wkDvCYAU"", ""Opportunity_Name"": ""Chaparral Apts"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:53.834778
a0BWR0000083yN82AI,AGR-0681,Agreement__c,*record*,"{""Name"": ""AGR-0681"", ""Opportunity__c"": ""006WR00000wkDvDYAU"", ""Opportunity_Name"": ""Lemoli Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:54.398146
a0BWR0000083yN92AI,AGR-0682,Agreement__c,*record*,"{""Name"": ""AGR-0682"", ""Opportunity__c"": ""006WR00000wkDvDYAU"", ""Opportunity_Name"": ""Lemoli Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:54.912791
a0BWR0000083yNB2AY,AGR-0684,Agreement__c,*record*,"{""Name"": ""AGR-0684"", ""Opportunity__c"": ""006WR00000wkDvEYAU"", ""Opportunity_Name"": ""Willow Lake"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:55.511740
a0BWR0000083yNC2AY,AGR-0685,Agreement__c,*record*,"{""Name"": ""AGR-0685"", ""Opportunity__c"": ""006WR00000wkDvEYAU"", ""Opportunity_Name"": ""Willow Lake"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:56.250841
a0BWR0000083yNE2AY,AGR-0687,Agreement__c,*record*,"{""Name"": ""AGR-0687"", ""Opportunity__c"": ""006WR00000wkDvFYAU"", ""Opportunity_Name"": ""Chadron Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:56.653130
a0BWR0000083yNF2AY,AGR-0688,Agreement__c,*record*,"{""Name"": ""AGR-0688"", ""Opportunity__c"": ""006WR00000wkDvFYAU"", ""Opportunity_Name"": ""Chadron Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:57.104466
a0BWR0000083yNH2AY,AGR-0690,Agreement__c,*record*,"{""Name"": ""AGR-0690"", ""Opportunity__c"": ""006WR00000wkDvGYAU"", ""Opportunity_Name"": ""Forest Gate Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:57.514733
a0BWR0000083yNI2AY,AGR-0691,Agreement__c,*record*,"{""Name"": ""AGR-0691"", ""Opportunity__c"": ""006WR00000wkDvGYAU"", ""Opportunity_Name"": ""Forest Gate Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:58.048338
a0BWR0000083yNK2AY,AGR-0693,Agreement__c,*record*,"{""Name"": ""AGR-0693"", ""Opportunity__c"": ""006WR00000wkDvHYAU"", ""Opportunity_Name"": ""Vanowen Manor II"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:58.709083
a0BWR0000083yNL2AY,AGR-0694,Agreement__c,*record*,"{""Name"": ""AGR-0694"", ""Opportunity__c"": ""006WR00000wkDvHYAU"", ""Opportunity_Name"": ""Vanowen Manor II"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:59.121461
