SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00000UGMVnYAP,9603 BOAT CLUB RD FORT WORTH TX,FDH_Activated_Date__c,2025-07-01,2022-12-31,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR0000106zKCYAY,3300 CHAMPIONSHIP PKWY FORT WORTH TX,FDH_Name__c,TX_DFW_NN_2025Q4,TX_DFW_SA03_NISD SEGMENT 2 HASLET TO ADMIN,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR0000106zKCYAY,3300 CHAMPIONSHIP PKWY FORT WORTH TX,FDH_Activated_Date__c,2025-12-12,2023-09-13,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWfGYAX,2600 BOBCAT BLVD TROPHY CLUB TX,FDH_Name__c,TX_DFW_AVR_2025Q3,TX_DFW_SA12_FDH11,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWfGYAX,2600 BOBCAT BLVD TROPHY CLUB TX,FDH_Activated_Date__c,2025-07-01,2022-12-31,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000jebs9YAA,NE_OMAHA_SA12_FDH22_PA03,Address_Type__c,Business,SFU,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UGWezYAH,2553 BROWNE ST OMAHA NE,Market__c,OMAHA,OPTK,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWezYAH,2553 BROWNE ST OMAHA NE,FDH_Name__c,NE_OMAHA_SA01_FDH13,NE_OPTK_SA01_FDH01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWezYAH,2553 BROWNE ST OMAHA NE,FDH_Activated_Date__c,2023-12-27,2025-10-23,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000tUttWYAS,900 N AUSTIN AVE GEORGETOWN TX,Business_Building_Id__c,4319438a-3f91-4c46-868b-a85f4ebebb41,0ba459e5-4e94-4379-ab9b-0cbc1f05222a,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000lLsmOYAS,40120 INDUSTRIAL PARK CIR GEORGETOWN TX,FDH_Name__c,TX_GEORGETOWN_AVR_2025Q4,TX_GEORGETOWN_SA09_FDH11,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000lLsmOYAS,40120 INDUSTRIAL PARK CIR GEORGETOWN TX,FDH_Activated_Date__c,2025-10-01,2025-09-25,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWQHYA5,2024 S DON CARLOS MESA AZ,FDH_Name__c,AZ_MESA_AVR_2025Q3,AZ_MESA_SA01_FDH14,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWQHYA5,2024 S DON CARLOS MESA AZ,FDH_Activated_Date__c,2025-07-01,2024-06-28,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGY2oYAH,8760 VERNON AVE OMAHA NE,Business_Building_Id__c,0a801cc4-55c6-468c-ad06-73a97455029b,f328e1e8-0981-43b9-85e9-465ee3dc7811,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGMV3YAP,9515 BLONDO ST OMAHA NE,FDH_Name__c,NE_OMAHA_AVR_2025Q4,NE_OMAHA_SA09_FDH10,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGMV3YAP,9515 BLONDO ST OMAHA NE,FDH_Activated_Date__c,2025-10-01,2024-04-29,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXLgYAP,UNKNOWN-NOT BUILT,Address_Type__c,Business,SFU,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UGXLgYAP,UNKNOWN-NOT BUILT,FDH_Name__c,CA_ENCINITAS_SA04_FDH50,CA_ENCINITAS_SA02_FDH24,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UGXLgYAP,UNKNOWN-NOT BUILT,Serving_Area__c,SA04,SA02,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UGXLgYAP,UNKNOWN-NOT BUILT,FDH_Activated_Date__c,2022-11-19,2022-04-30,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UGXITYA5,450 OCEAN VIEW AVE ENCINITAS CA,FDH_Name__c,CA_ENCINITAS_SA05_FDH51,CA_ENCINITAS_SA05_FDH56,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXITYA5,450 OCEAN VIEW AVE ENCINITAS CA,FDH_Activated_Date__c,2023-04-21,2023-04-30,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00001LnrnmYAB,NOT BUILT,FDH_Name__c,CA_ENCINITAS_SA06_FDH47,CA_ENCINITAS_SA05_FDH62,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00001LnrnmYAB,NOT BUILT,Serving_Area__c,SA06,SA05,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00001C893YYAR,MORATORIUM,Address_Type__c,Business,SFU,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00001C893YYAR,MORATORIUM,FDH_Name__c,CA_ENCINITAS_SA09_FDH82_AER,CA_ENCINITAS_SA06_FDH15,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00001C893YYAR,MORATORIUM,Serving_Area__c,SA09,SA06,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00001C893YYAR,MORATORIUM,FDH_Activated_Date__c,2025-12-30,2025-12-22,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
