SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a02WR00000FcO4BYAV,TX1001-006000011A,Name,704 EDWARDS DR UNIT 2 HARKER HEIGHTS TX 76548,704 EDWARDS DR UNIT B HARKER HEIGHTS TX 76548,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4DYAV,TX1001-006000006A,Unit__c,UNIT 4,UNIT D,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4DYAV,TX1001-006000006A,Name,704 EDWARDS DR UNIT 4 HARKER HEIGHTS TX 76548,704 EDWARDS DR UNIT D HARKER HEIGHTS TX 76548,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4EYAV,TX1001-006000007A,Unit__c,UNIT 5,UNIT E,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4EYAV,TX1001-006000007A,Name,704 EDWARDS DR UNIT 5 HARKER HEIGHTS TX 76548,704 EDWARDS DR UNIT E HARKER HEIGHTS TX 76548,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4FYAV,TX1001-006000008A,Unit__c,UNIT 6,UNIT F,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcO4FYAV,TX1001-006000008A,Name,704 EDWARDS DR UNIT 6 HARKER HEIGHTS TX 76548,704 EDWARDS DR UNIT F HARKER HEIGHTS TX 76548,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcOVuYAN,TX1501-006000241A,Activated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcOVuYAN,TX1501-006000241A,Address_Activation_Date__c,,2026-04-01,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcOVuYAN,TX1501-006000241A,Ordered_Product__c,,Internet Service,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcP6oYAF,TX0604-006000015A,Address_Activation_Date__c,2021-01-01,2025-01-06,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000SBQRGYA5,TX0601-069002468A,Address_Activation_Date__c,2025-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a01WR00000UGXcrYAH,610 N 10TH ST KILLEEN TX,Import_Delete_Property__c,False,True,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,FLAG_STALE,Not in PowerBI export as of 4/27/2026. Flagged for review.
a01WR00000UGXj8YAH,660 E FM 2410 RD HARKER HEIGHTS TX,Import_Delete_Property__c,False,True,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,FLAG_STALE,Not in PowerBI export as of 4/27/2026. Flagged for review.
a02WR00000FcNWLYA3,TX1309-010000127A,Import_Delete_Unit__c,False,True,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,FLAG_STALE,Not in PowerBI export as of 4/27/2026. Flagged for review.
